case_id,fraud_pattern,account_channel,loss_amount_inr,hours_to_report,new_payee_flag,device_change_flag,urgency_language_flag,unusual_amount_flag,mule_flag,risk_score,amount_recovered_inr
UPI-00001,Account Takeover,AutoPay,25791,14,0,0,0,1,0,38.7,2579
UPI-00002,Fake Merchant,Collect,50582,27,0,0,0,0,0,28.4,4047
UPI-00003,Investment Scam,QR,75373,40,0,0,1,0,0,40.0,8291
UPI-00004,Remote Access,UPI,100164,53,1,0,0,0,0,46.7,14023
UPI-00005,Phishing,AutoPay,124955,66,0,0,0,1,0,45.3,21242
UPI-00006,Mule Account,Collect,149746,79,0,0,1,1,1,77.0,29949
UPI-00007,Social Engineering,QR,174537,92,0,1,0,0,0,51.6,5236
UPI-00008,Account Takeover,UPI,199328,9,1,0,0,0,0,53.3,89698
UPI-00009,Fake Merchant,AutoPay,224119,22,1,0,1,0,0,64.9,112060
UPI-00010,Investment Scam,Collect,8910,35,0,0,0,1,0,37.6,1069
UPI-00011,Remote Access,QR,33701,48,0,0,0,1,0,39.2,5055
UPI-00012,Phishing,UPI,58492,61,1,0,1,0,0,53.9,10529
UPI-00013,Mule Account,AutoPay,83283,74,0,0,0,0,1,50.6,17489
UPI-00014,Social Engineering,Collect,108074,87,0,1,0,0,0,47.2,4323
UPI-00015,Account Takeover,QR,132865,4,0,0,1,1,0,55.9,33216
UPI-00016,Fake Merchant,UPI,157656,17,1,0,0,1,0,62.5,47297
UPI-00017,Investment Scam,AutoPay,182447,30,0,0,0,0,1,57.2,23718
UPI-00018,Remote Access,Collect,207238,43,1,0,1,0,0,63.8,33158
UPI-00019,Phishing,QR,232029,56,0,0,0,0,0,40.5,44086
UPI-00020,Mule Account,UPI,16820,69,1,0,0,1,1,73.1,336
UPI-00021,Social Engineering,AutoPay,41611,82,0,1,1,1,0,64.8,2081
UPI-00022,Account Takeover,Collect,66402,95,0,0,0,0,0,29.4,5312
UPI-00023,Fake Merchant,QR,91193,12,0,0,0,0,0,31.1,9119
UPI-00024,Investment Scam,UPI,115984,25,1,0,1,0,0,57.7,16238
UPI-00025,Remote Access,AutoPay,140775,38,0,0,0,1,0,46.4,23932
UPI-00026,Phishing,Collect,165566,51,0,0,0,1,0,48.0,33113
UPI-00027,Mule Account,QR,190357,64,1,0,1,0,1,82.7,5711
UPI-00028,Social Engineering,UPI,215148,77,1,1,0,0,0,69.3,12909
UPI-00029,Account Takeover,AutoPay,239939,90,0,0,0,0,0,41.0,21595
UPI-00030,Fake Merchant,Collect,24730,7,0,0,1,1,0,48.6,11128
UPI-00031,Investment Scam,QR,49521,20,0,0,0,1,0,40.3,24760
UPI-00032,Remote Access,UPI,74312,33,1,0,0,0,0,45.0,13376
UPI-00033,Phishing,AutoPay,99103,46,0,0,1,0,0,41.6,20812
UPI-00034,Mule Account,Collect,123894,59,0,0,0,0,1,53.3,4956
UPI-00035,Social Engineering,QR,148685,72,0,1,0,1,0,61.9,10408
UPI-00036,Account Takeover,UPI,173476,85,1,0,1,1,0,73.6,17348
UPI-00037,Fake Merchant,AutoPay,198267,2,0,0,0,0,0,38.2,49567
UPI-00038,Investment Scam,Collect,223058,15,0,0,0,0,0,39.9,66917
UPI-00039,Remote Access,QR,7849,28,0,0,1,0,0,35.5,1491
UPI-00040,Phishing,UPI,32640,41,1,0,0,1,0,54.2,653
UPI-00041,Mule Account,AutoPay,57431,54,0,0,0,1,1,60.8,2872
UPI-00042,Social Engineering,Collect,82222,67,0,1,1,0,0,55.5,6578
UPI-00043,Account Takeover,QR,107013,80,0,0,0,0,0,32.1,11771
UPI-00044,Fake Merchant,UPI,131804,93,1,0,0,0,0,48.8,18453
UPI-00045,Investment Scam,AutoPay,156595,10,1,0,1,1,0,72.4,15660
UPI-00046,Remote Access,Collect,181386,23,0,0,0,1,0,49.1,27208
UPI-00047,Phishing,QR,206177,36,0,0,0,0,0,38.7,6185
UPI-00048,Mule Account,UPI,230968,49,1,0,1,0,1,85.4,13858
UPI-00049,Social Engineering,AutoPay,15759,62,0,1,0,0,0,41.1,1418
UPI-00050,Account Takeover,Collect,40550,75,0,0,0,1,0,39.7,4866
UPI-00051,Fake Merchant,QR,65341,88,0,0,1,1,1,71.4,9801
UPI-00052,Investment Scam,UPI,90132,5,1,0,0,0,0,46.0,40559
UPI-00053,Remote Access,AutoPay,114923,18,0,0,0,0,0,32.7,57462
UPI-00054,Phishing,Collect,139714,31,1,0,1,0,0,59.3,5589
UPI-00055,Mule Account,QR,164505,44,0,0,0,1,1,68.0,11515
UPI-00056,Social Engineering,UPI,189296,57,1,1,0,1,0,79.6,18930
UPI-00057,Account Takeover,AutoPay,214087,70,0,0,1,0,0,49.3,27831
UPI-00058,Fake Merchant,Collect,238878,83,0,0,0,0,0,40.9,38220
UPI-00059,Investment Scam,QR,23669,96,0,0,0,0,0,26.6,4497
UPI-00060,Remote Access,UPI,48460,13,1,0,1,1,0,65.2,14538
UPI-00061,Phishing,AutoPay,73251,26,0,0,0,1,0,41.9,3663
UPI-00062,Mule Account,Collect,98042,39,0,0,0,0,1,51.5,7843
UPI-00063,Social Engineering,QR,122833,52,1,1,1,0,0,73.2,13512
UPI-00064,Account Takeover,UPI,147624,65,1,0,0,0,0,49.8,20667
UPI-00065,Fake Merchant,AutoPay,172415,78,0,0,0,1,0,48.5,29311
UPI-00066,Investment Scam,Collect,197206,91,0,0,1,1,0,60.1,39441
UPI-00067,Remote Access,QR,221997,8,0,0,0,0,0,39.8,22200
UPI-00068,Phishing,UPI,6788,21,1,0,0,0,1,60.5,1018
UPI-00069,Mule Account,AutoPay,31579,34,0,0,1,0,1,57.1,2842
UPI-00070,Social Engineering,Collect,56370,47,0,1,0,1,0,55.8,6764
UPI-00071,Account Takeover,QR,81161,60,0,0,0,1,0,42.4,12174
UPI-00072,Fake Merchant,UPI,105952,73,1,0,1,0,0,57.1,19071
UPI-00073,Investment Scam,AutoPay,130743,86,0,0,0,0,0,33.7,27456
UPI-00074,Remote Access,Collect,155534,3,0,0,0,0,0,35.4,69990
UPI-00075,Phishing,QR,180325,16,0,0,1,1,0,59.0,90162
UPI-00076,Mule Account,UPI,205116,29,1,0,0,1,1,85.7,20512
UPI-00077,Social Engineering,AutoPay,229907,42,0,1,0,0,0,55.3,29888
UPI-00078,Account Takeover,Collect,14698,55,0,0,1,0,0,36.0,2352
UPI-00079,Fake Merchant,QR,39489,68,0,0,0,0,0,27.6,7503
UPI-00080,Investment Scam,UPI,64280,81,1,0,0,1,0,56.3,1286
UPI-00081,Remote Access,AutoPay,89071,94,1,0,1,1,0,67.9,4454
UPI-00082,Phishing,Collect,113862,11,0,0,0,0,0,32.6,34159
UPI-00083,Mule Account,QR,138653,24,0,0,0,0,1,54.2,15252
UPI-00084,Social Engineering,UPI,163444,37,1,1,1,0,0,75.9,22882
UPI-00085,Account Takeover,AutoPay,188235,50,0,0,0,1,1,69.5,32000
UPI-00086,Fake Merchant,Collect,213026,63,0,0,0,1,0,51.2,42605
UPI-00087,Investment Scam,QR,237817,76,0,0,1,0,0,50.9,7135
UPI-00088,Remote Access,UPI,22608,89,1,0,0,0,0,41.5,1356
UPI-00089,Phishing,AutoPay,47399,6,0,0,0,0,0,28.2,4740
UPI-00090,Mule Account,Collect,72190,19,1,0,1,1,1,86.8,10829
UPI-00091,Social Engineering,QR,96981,32,0,1,0,1,0,58.5,14547
UPI-00092,Account Takeover,UPI,121772,45,1,0,0,0,0,48.1,21919
UPI-00093,Fake Merchant,AutoPay,146563,58,0,0,1,0,0,44.8,30778
UPI-00094,Investment Scam,Collect,171354,71,0,0,0,0,0,36.4,6854
UPI-00095,Remote Access,QR,196145,84,0,0,0,1,0,50.1,13730
UPI-00096,Phishing,UPI,220936,1,1,0,1,1,0,76.7,99421
UPI-00097,Mule Account,AutoPay,5727,14,0,0,0,0,1,45.4,2864
UPI-00098,Social Engineering,Collect,30518,27,0,1,0,0,0,42.0,4883
UPI-00099,Account Takeover,QR,55309,40,1,0,1,0,0,53.7,10509
UPI-00100,Fake Merchant,UPI,80100,53,1,0,0,1,0,57.3,1602
UPI-00101,Investment Scam,AutoPay,104891,66,0,0,0,1,0,44.0,5245
UPI-00102,Remote Access,Collect,129682,79,0,0,1,0,1,63.6,10375
UPI-00103,Phishing,QR,154473,92,0,0,0,0,0,35.3,16992
UPI-00104,Mule Account,UPI,179264,9,1,0,0,0,1,72.0,53779
UPI-00105,Social Engineering,AutoPay,204055,22,0,1,1,1,0,75.6,71419
UPI-00106,Account Takeover,Collect,228846,35,0,0,0,1,0,52.3,45769
UPI-00107,Fake Merchant,QR,13637,48,0,0,0,0,0,25.9,409
UPI-00108,Investment Scam,UPI,38428,61,1,0,1,0,0,52.6,2306
UPI-00109,Remote Access,AutoPay,63219,74,0,0,0,0,0,29.2,5690
UPI-00110,Phishing,Collect,88010,87,0,0,0,1,0,42.9,10561
UPI-00111,Mule Account,QR,112801,4,0,0,1,1,1,74.5,11280
UPI-00112,Social Engineering,UPI,137592,17,1,1,0,0,0,64.2,20639
UPI-00113,Account Takeover,AutoPay,162383,30,0,0,0,0,0,35.8,34100
UPI-00114,Fake Merchant,Collect,187174,43,0,0,1,0,0,47.5,7487
UPI-00115,Investment Scam,QR,211965,56,0,0,0,1,0,51.1,14838
UPI-00116,Remote Access,UPI,236756,69,1,0,0,1,0,67.8,23676
UPI-00117,Phishing,AutoPay,21547,82,1,0,1,0,0,51.4,2801
UPI-00118,Mule Account,Collect,46338,95,0,0,0,0,1,48.1,7414
UPI-00119,Social Engineering,QR,71129,12,0,1,0,0,1,64.7,35564
UPI-00120,Account Takeover,UPI,95920,25,1,0,1,1,0,68.4,1918
UPI-00121,Fake Merchant,AutoPay,120711,38,0,0,0,1,0,45.0,6036
UPI-00122,Investment Scam,Collect,145502,51,0,0,0,0,0,34.7,11640
UPI-00123,Remote Access,QR,170293,64,0,0,1,0,0,46.4,18732
UPI-00124,Phishing,UPI,195084,77,1,0,0,0,0,53.0,27312
UPI-00125,Mule Account,AutoPay,219875,90,0,0,0,1,1,71.7,37379
UPI-00126,Social Engineering,Collect,4666,7,1,1,1,1,0,77.3,1400
UPI-00127,Account Takeover,QR,29457,20,0,0,0,0,0,27.0,10310
UPI-00128,Fake Merchant,UPI,54248,33,1,0,0,0,0,43.6,3255
UPI-00129,Investment Scam,AutoPay,79039,46,0,0,1,0,0,40.3,7114
UPI-00130,Remote Access,Collect,103830,59,0,0,0,1,0,43.9,12460
UPI-00131,Phishing,QR,128621,72,0,0,0,1,0,45.6,19293
UPI-00132,Mule Account,UPI,153412,85,1,0,1,0,1,80.2,27614
UPI-00133,Social Engineering,AutoPay,178203,2,0,1,0,0,0,51.9,17820
UPI-00134,Account Takeover,Collect,202994,15,0,0,0,0,0,38.5,30449
UPI-00135,Fake Merchant,QR,227785,28,1,0,1,1,0,77.2,15945
UPI-00136,Investment Scam,UPI,12576,41,1,0,0,1,1,72.8,1258
UPI-00137,Remote Access,AutoPay,37367,54,0,0,0,0,0,27.5,4858
UPI-00138,Phishing,Collect,62158,67,0,0,1,0,0,39.1,9945
UPI-00139,Mule Account,QR,86949,80,0,0,0,0,1,50.8,16520
UPI-00140,Social Engineering,UPI,111740,93,1,1,0,1,0,74.4,2235
UPI-00141,Account Takeover,AutoPay,136531,10,0,0,1,1,0,56.1,68266
UPI-00142,Fake Merchant,Collect,161322,23,0,0,0,0,0,35.8,88727
UPI-00143,Investment Scam,QR,186113,36,0,0,0,0,0,37.4,20472
UPI-00144,Remote Access,UPI,210904,49,1,0,1,0,0,64.1,29527
UPI-00145,Phishing,AutoPay,235695,62,0,0,0,1,0,52.7,40068
UPI-00146,Mule Account,Collect,20486,75,0,0,0,1,1,58.4,4097
UPI-00147,Social Engineering,QR,45277,88,0,1,1,0,0,53.0,1358
UPI-00148,Account Takeover,UPI,70068,5,1,0,0,0,0,44.7,21020
UPI-00149,Fake Merchant,AutoPay,94859,18,0,0,0,0,0,31.3,33201
UPI-00150,Investment Scam,Collect,119650,31,0,0,1,1,0,55.0,14358
UPI-00151,Remote Access,QR,144441,44,0,0,0,1,0,46.6,21666
UPI-00152,Phishing,UPI,169232,57,1,0,0,0,0,51.3,30462
UPI-00153,Mule Account,AutoPay,194023,70,1,0,1,0,1,82.9,40745
UPI-00154,Social Engineering,Collect,218814,83,0,1,0,0,0,54.6,8753
UPI-00155,Account Takeover,QR,3605,96,0,0,0,1,0,37.2,252
